"CARCA, Elisa Beatriz",CC,Buenos Aires,0,1,2,1,2,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,2,2,1,1,0,9,1,2,2,1,1,1,1,1,1,1,1,1,1,9,1,,,,,,,,,,,,,,
"CARDELLI, Jorge Justo",OTROS,Cdad. Aut. Bs. As.,0,2,9,1,0,2,2,2,0,0,0,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,2,1,0,0,0,0,1,0,0,0,9,0,1,1,2,2
"CARLOTTO, Remo Gerardo",FPV,Buenos Aires,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CARMONA, Guillermo",FPV,Mendoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CARRANZA, Carlos Alberto",FPER,Santa Fe,1,2,2,2,1,1,1,1,1,1,0,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,0,0,1,2,1,0,0,0,0,1,1,0,1,0,0,1,1,2,2
"CARRIO, Elisa Maria",CC,Cdad. Aut. Bs. As.,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"CASANAS, Juan Francisco",UCR,Tucuman,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"CASELLES, Graciela Maria",FPV,San Juan,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CASTALDO, Norah Susana",UCR,Tucuman,1,1,1,1,1,1,1,1,9,9,9,1,1,2,1,1,1,1,1,1,9,2,2,2,2,2,2,2,2,2,1,1,1,1,2,0,9,0,1,9,1,,,,,,,,,,,,,,
"CASTAnON, Hugo",UCR,Rio Negro,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2
"CATALAN MAGNI, Julio Cesar",FPV,Tierra del Fuego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CEJAS, Jorge Alberto",FPV,Rio Negro,0,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
